model,parameters,f1,precision,recall
Random Forest,"{'n_estimators': 10, 'criterion': 'gini', 'max_features': 'sqrt'}",0.901658791533422,0.8973575199180511,0.9217330538085255
Random Forest,"{'n_estimators': 10, 'criterion': 'gini', 'max_features': 'auto'}",0.901658791533422,0.8973575199180511,0.9217330538085255
Random Forest,"{'n_estimators': 10, 'criterion': 'gini', 'max_features': 'log2'}",0.9000002540030887,0.9073873773932015,0.9259259259259259
Random Forest,"{'n_estimators': 10, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.9038959433735537,0.9016609554143946,0.9238294898672257
Random Forest,"{'n_estimators': 10, 'criterion': 'entropy', 'max_features': 'auto'}",0.9038959433735537,0.9016609554143946,0.9238294898672257
Random Forest,"{'n_estimators': 10, 'criterion': 'entropy', 'max_features': 'log2'}",0.8976686637031243,0.8995906534263303,0.9238294898672257
Random Forest,"{'n_estimators': 30, 'criterion': 'gini', 'max_features': 'sqrt'}",0.8968493495051812,0.8924237378546024,0.9210342417889588
Random Forest,"{'n_estimators': 30, 'criterion': 'gini', 'max_features': 'auto'}",0.8968493495051812,0.8924237378546024,0.9210342417889588
Random Forest,"{'n_estimators': 30, 'criterion': 'gini', 'max_features': 'log2'}",0.8956250833940358,0.8997060677863863,0.9238294898672257
Random Forest,"{'n_estimators': 30, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.9018564194182219,0.9022314071767896,0.9245283018867925
Random Forest,"{'n_estimators': 30, 'criterion': 'entropy', 'max_features': 'auto'}",0.9018564194182219,0.9022314071767896,0.9245283018867925
Random Forest,"{'n_estimators': 30, 'criterion': 'entropy', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 50, 'criterion': 'gini', 'max_features': 'sqrt'}",0.9018564194182219,0.9022314071767896,0.9245283018867925
Random Forest,"{'n_estimators': 50, 'criterion': 'gini', 'max_features': 'auto'}",0.9018564194182219,0.9022314071767896,0.9245283018867925
Random Forest,"{'n_estimators': 50, 'criterion': 'gini', 'max_features': 'log2'}",0.8945520795664121,0.9000739440625355,0.9238294898672257
Random Forest,"{'n_estimators': 50, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.9014283902357604,0.9041097937880079,0.9252271139063591
Random Forest,"{'n_estimators': 50, 'criterion': 'entropy', 'max_features': 'auto'}",0.9014283902357604,0.9041097937880079,0.9252271139063591
Random Forest,"{'n_estimators': 50, 'criterion': 'entropy', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 70, 'criterion': 'gini', 'max_features': 'sqrt'}",0.9036738931326994,0.9059902007270428,0.9259259259259259
Random Forest,"{'n_estimators': 70, 'criterion': 'gini', 'max_features': 'auto'}",0.9036738931326994,0.9059902007270428,0.9259259259259259
Random Forest,"{'n_estimators': 70, 'criterion': 'gini', 'max_features': 'log2'}",0.8945520795664121,0.9000739440625355,0.9238294898672257
Random Forest,"{'n_estimators': 70, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.9027978387631733,0.9060990338164251,0.9259259259259259
Random Forest,"{'n_estimators': 70, 'criterion': 'entropy', 'max_features': 'auto'}",0.9027978387631733,0.9060990338164251,0.9259259259259259
Random Forest,"{'n_estimators': 70, 'criterion': 'entropy', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 90, 'criterion': 'gini', 'max_features': 'sqrt'}",0.9068161196882063,0.9114351892502701,0.9280223619846262
Random Forest,"{'n_estimators': 90, 'criterion': 'gini', 'max_features': 'auto'}",0.9068161196882063,0.9114351892502701,0.9280223619846262
Random Forest,"{'n_estimators': 90, 'criterion': 'gini', 'max_features': 'log2'}",0.8945520795664121,0.9000739440625355,0.9238294898672257
Random Forest,"{'n_estimators': 90, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.9009623205816473,0.9067475108924342,0.9259259259259259
Random Forest,"{'n_estimators': 90, 'criterion': 'entropy', 'max_features': 'auto'}",0.9009623205816473,0.9067475108924342,0.9259259259259259
Random Forest,"{'n_estimators': 90, 'criterion': 'entropy', 'max_features': 'log2'}",0.8945520795664121,0.9000739440625355,0.9238294898672257
Random Forest,"{'n_estimators': 110, 'criterion': 'gini', 'max_features': 'sqrt'}",0.9054913668471767,0.9097489942772962,0.9273235499650594
Random Forest,"{'n_estimators': 110, 'criterion': 'gini', 'max_features': 'auto'}",0.9054913668471767,0.9097489942772962,0.9273235499650594
Random Forest,"{'n_estimators': 110, 'criterion': 'gini', 'max_features': 'log2'}",0.8945520795664121,0.9000739440625355,0.9238294898672257
Random Forest,"{'n_estimators': 110, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.8990936851209235,0.90201169715673,0.9245283018867925
Random Forest,"{'n_estimators': 110, 'criterion': 'entropy', 'max_features': 'auto'}",0.8990936851209235,0.90201169715673,0.9245283018867925
Random Forest,"{'n_estimators': 110, 'criterion': 'entropy', 'max_features': 'log2'}",0.8945520795664121,0.9000739440625355,0.9238294898672257
Random Forest,"{'n_estimators': 130, 'criterion': 'gini', 'max_features': 'sqrt'}",0.9036738931326994,0.9059902007270428,0.9259259259259259
Random Forest,"{'n_estimators': 130, 'criterion': 'gini', 'max_features': 'auto'}",0.9036738931326994,0.9059902007270428,0.9259259259259259
Random Forest,"{'n_estimators': 130, 'criterion': 'gini', 'max_features': 'log2'}",0.8945520795664121,0.9000739440625355,0.9238294898672257
Random Forest,"{'n_estimators': 130, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.8981134663427696,0.9021721896305692,0.9245283018867925
Random Forest,"{'n_estimators': 130, 'criterion': 'entropy', 'max_features': 'auto'}",0.8981134663427696,0.9021721896305692,0.9245283018867925
Random Forest,"{'n_estimators': 130, 'criterion': 'entropy', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 150, 'criterion': 'gini', 'max_features': 'sqrt'}",0.9041520504251682,0.9079741677953448,0.9266247379454927
Random Forest,"{'n_estimators': 150, 'criterion': 'gini', 'max_features': 'auto'}",0.9041520504251682,0.9079741677953448,0.9266247379454927
Random Forest,"{'n_estimators': 150, 'criterion': 'gini', 'max_features': 'log2'}",0.891487498440051,0.8924068000655044,0.9224318658280922
Random Forest,"{'n_estimators': 150, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.8985594920051365,0.9050705232200665,0.9252271139063591
Random Forest,"{'n_estimators': 150, 'criterion': 'entropy', 'max_features': 'auto'}",0.8985594920051365,0.9050705232200665,0.9252271139063591
Random Forest,"{'n_estimators': 150, 'criterion': 'entropy', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 170, 'criterion': 'gini', 'max_features': 'sqrt'}",0.9027978387631733,0.9060990338164251,0.9259259259259259
Random Forest,"{'n_estimators': 170, 'criterion': 'gini', 'max_features': 'auto'}",0.9027978387631733,0.9060990338164251,0.9259259259259259
Random Forest,"{'n_estimators': 170, 'criterion': 'gini', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 170, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.8985594920051365,0.9050705232200665,0.9252271139063591
Random Forest,"{'n_estimators': 170, 'criterion': 'entropy', 'max_features': 'auto'}",0.8985594920051365,0.9050705232200665,0.9252271139063591
Random Forest,"{'n_estimators': 170, 'criterion': 'entropy', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 190, 'criterion': 'gini', 'max_features': 'sqrt'}",0.9041520504251682,0.9079741677953448,0.9266247379454927
Random Forest,"{'n_estimators': 190, 'criterion': 'gini', 'max_features': 'auto'}",0.9041520504251682,0.9079741677953448,0.9266247379454927
Random Forest,"{'n_estimators': 190, 'criterion': 'gini', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
Random Forest,"{'n_estimators': 190, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.9000002540030887,0.9073873773932015,0.9259259259259259
Random Forest,"{'n_estimators': 190, 'criterion': 'entropy', 'max_features': 'auto'}",0.9000002540030887,0.9073873773932015,0.9259259259259259
Random Forest,"{'n_estimators': 190, 'criterion': 'entropy', 'max_features': 'log2'}",0.8930295821502156,0.8965337671157495,0.923130677847659
